,r2,rmse,r2_raw,rmse_raw,dataset,desc
naive,-3.807,0.963,-1.0,1297.0,Valid,Organic
mod1,-0.157,0.472,-0.0,1083.0,Valid,Organic
mod2,-0.157,0.472,-0.0,1083.0,Valid,Organic
mod3,0.821,0.186,1.0,494.0,Valid,Organic
mod4,0.822,0.185,1.0,494.0,Valid,Organic
mod5,0.823,0.185,1.0,495.0,Valid,Organic
mod6,0.826,0.183,1.0,494.0,Valid,Organic
mod7,0.826,0.183,1.0,494.0,Valid,Organic
mod8,0.202,0.392,0.0,997.0,Valid,Organic
mod9,0.826,0.183,1.0,493.0,Valid,Organic
mod10,0.826,0.183,1.0,496.0,Valid,Organic
mod11,0.824,0.184,1.0,493.0,Valid,Organic
mod12,0.824,0.184,1.0,501.0,Valid,Organic
mod13,0.824,0.184,1.0,514.0,Valid,Organic
mod14,0.744,0.222,1.0,545.0,Valid,Organic
mod15,0.843,0.174,1.0,507.0,Valid,Organic
mod16,0.845,0.173,1.0,509.0,Valid,Organic
naive,-236.867,2.652,-12.0,829.0,Valid,PPC
mod1,-0.338,0.199,-0.0,242.0,Valid,PPC
mod2,-0.338,0.199,-0.0,242.0,Valid,PPC
mod3,0.776,0.081,1.0,111.0,Valid,PPC
mod4,0.777,0.081,1.0,111.0,Valid,PPC
mod5,0.777,0.081,1.0,110.0,Valid,PPC
mod6,0.779,0.081,1.0,111.0,Valid,PPC
mod7,0.777,0.081,1.0,112.0,Valid,PPC
mod8,-0.093,0.18,0.0,227.0,Valid,PPC
mod9,0.78,0.081,1.0,111.0,Valid,PPC
mod10,0.772,0.082,1.0,115.0,Valid,PPC
mod11,0.772,0.082,1.0,111.0,Valid,PPC
mod12,0.729,0.089,1.0,115.0,Valid,PPC
mod13,0.694,0.095,1.0,118.0,Valid,PPC
mod14,0.764,0.083,1.0,112.0,Valid,PPC
mod15,0.794,0.078,1.0,110.0,Valid,PPC
mod16,0.791,0.079,1.0,109.0,Valid,PPC
naive,-3.434,0.931,-1.0,1278.0,Test,Organic
